Gender,Dependent_Count,Marital_Status,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Amt_Chng_Q4_Q1,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Attrition_Flag
M,2,Married,Blue,6,2,0,0.89,44,0.913,Attrited Customer
F,3,Married,Blue,2,1,1,0.727,82,0.745,Existing Customer
F,4,Single,Blue,2,4,1,1.01,75,0.829,Existing Customer
M,3,Unknown,Blue,1,2,2,0.482,70,0.591,Existing Customer
F,1,Married,Blue,1,3,3,1.049,75,0.923,Existing Customer
M,1,Single,Blue,1,3,1,0.565,84,0.75,Existing Customer
M,1,Married,Blue,2,2,3,0.754,58,1.071,Existing Customer
F,4,Single,Blue,2,1,1,0.728,82,0.708,Existing Customer
F,3,Single,Blue,2,1,2,0.473,77,0.925,Existing Customer
F,3,Unknown,Blue,2,6,1,0.586,90,0.765,Existing Customer
F,3,Married,Blue,2,2,2,0.943,87,0.706,Existing Customer
F,4,Single,Blue,2,2,2,0.671,87,0.642,Existing Customer
M,3,Married,Blue,1,1,1,0.787,74,0.762,Existing Customer
M,3,Single,Blue,2,1,0,0.814,90,0.765,Existing Customer
F,3,Married,Blue,2,2,3,0.839,52,0.733,Attrited Customer
M,3,Married,Blue,2,2,1,0.538,80,0.739,Existing Customer
M,2,Single,Blue,2,2,1,0.45,96,0.574,Existing Customer
F,3,Unknown,Blue,2,3,2,0.74,70,1,Existing Customer
M,3,Single,Blue,2,6,3,0.669,83,0.804,Existing Customer
F,3,Single,Blue,1,3,3,0.595,80,0.702,Existing Customer
F,1,Unknown,Blue,5,2,6,0.656,55,0.667,Attrited Customer
F,2,Married,Blue,2,2,1,0.646,80,0.739,Existing Customer
F,3,Single,Blue,2,2,1,0.514,81,1.077,Existing Customer
M,4,Single,Blue,2,2,3,0.839,82,0.547,Existing Customer
F,3,Unknown,Blue,5,3,2,0.602,42,0.312,Attrited Customer
F,2,Single,Blue,1,3,3,0.613,84,0.787,Existing Customer
F,3,Single,Blue,2,2,2,0.579,65,0.512,Existing Customer
F,4,Single,Blue,1,1,0,0.61,78,0.66,Existing Customer
F,0,Married,Blue,2,2,2,1.033,75,0.875,Existing Customer
F,1,Single,Blue,2,2,3,0.724,82,1,Existing Customer
M,3,Single,Blue,2,1,3,0.88,45,0.667,Existing Customer
F,0,Single,Blue,2,4,3,0.902,49,0.75,Attrited Customer
F,2,Married,Blue,2,3,3,0.688,83,0.694,Existing Customer
F,4,Single,Blue,6,3,2,0.574,54,0.742,Attrited Customer
M,0,Single,Blue,1,2,3,0.533,71,0.651,Existing Customer
F,1,Unknown,Blue,2,3,2,0.896,42,0.556,Attrited Customer
F,0,Married,Blue,2,2,1,0.814,81,0.841,Existing Customer
F,5,Married,Blue,2,3,1,0.757,71,0.972,Existing Customer
M,4,Married,Blue,1,4,1,0.788,50,1.174,Existing Customer
F,4,Married,Blue,1,1,1,0.644,78,0.95,Existing Customer
F,3,Married,Blue,2,3,2,0.814,89,0.854,Existing Customer
F,1,Married,Blue,4,3,3,0.874,45,0.452,Attrited Customer
F,2,Married,Blue,1,3,3,0.726,90,0.698,Existing Customer
F,2,Single,Blue,1,3,1,0.767,82,0.673,Existing Customer
F,1,Married,Blue,2,2,1,0.708,79,0.717,Existing Customer
M,0,Single,Blue,1,2,0,0.625,82,0.745,Existing Customer
F,3,Single,Blue,2,2,3,0.81,84,0.909,Existing Customer
F,3,Single,Blue,2,3,3,0.899,52,0.733,Existing Customer
F,4,Married,Blue,2,4,3,0.31,40,0.739,Attrited Customer
F,1,Married,Blue,2,1,2,0.537,77,0.711,Existing Customer
F,3,Married,Blue,2,3,1,0.686,80,0.667,Existing Customer
F,2,Married,Blue,1,3,3,0.894,82,0.745,Existing Customer
M,1,Single,Blue,6,4,3,0.433,56,0.647,Attrited Customer
F,5,Married,Blue,1,1,3,0.631,80,0.739,Existing Customer
F,5,Married,Blue,2,3,3,0.864,51,1.217,Attrited Customer
F,2,Single,Blue,2,2,2,0.782,91,0.784,Existing Customer
F,2,Married,Blue,1,4,2,0.457,85,0.667,Existing Customer
F,3,Unknown,Blue,1,1,3,0.603,86,0.686,Existing Customer
F,3,Married,Blue,1,1,1,0.591,82,0.864,Existing Customer
F,4,Single,Blue,1,2,1,0.731,88,0.725,Existing Customer
F,4,Single,Gold,1,2,3,0.331,42,0.355,Attrited Customer
F,1,Single,Blue,1,5,1,0.631,92,0.84,Existing Customer
F,2,Married,Blue,2,3,2,0.507,95,0.759,Existing Customer
F,0,Married,Blue,1,3,3,0.805,68,1.194,Existing Customer
F,1,Married,Blue,2,1,3,0.674,75,0.744,Existing Customer
F,4,Single,Blue,2,5,3,0.995,80,0.905,Existing Customer
M,2,Single,Blue,5,2,2,0.596,51,0.759,Attrited Customer
M,3,Divorced,Silver,1,3,2,0.989,58,0.706,Existing Customer
F,2,Single,Blue,2,6,2,0.608,91,0.857,Existing Customer
F,2,Married,Blue,1,2,2,0.709,67,0.634,Existing Customer
F,4,Married,Blue,1,3,1,0.667,86,0.755,Existing Customer
F,2,Single,Blue,1,3,3,0.782,50,0.515,Attrited Customer
M,4,Married,Blue,2,3,3,0.568,69,0.643,Existing Customer
F,3,Single,Blue,2,3,3,0.374,39,0.56,Attrited Customer
F,4,Single,Blue,2,3,3,0.721,79,0.717,Existing Customer
F,2,Married,Blue,2,1,3,0.881,85,0.735,Existing Customer
F,1,Divorced,Blue,1,2,3,0.549,75,0.829,Existing Customer
F,3,Married,Blue,2,1,2,0.612,79,0.681,Existing Customer
F,3,Unknown,Blue,4,3,2,0.63,40,0.481,Attrited Customer
F,5,Single,Blue,2,3,2,0.694,35,0.591,Attrited Customer
F,3,Married,Blue,1,2,3,0.665,67,1.094,Existing Customer
F,3,Single,Blue,1,3,2,0.685,80,0.778,Existing Customer
F,4,Married,Blue,6,3,3,0.845,46,0.586,Attrited Customer
M,2,Single,Blue,1,2,1,0.577,76,0.551,Existing Customer
M,2,Married,Blue,2,3,0,0.62,75,1.083,Existing Customer
M,4,Married,Blue,2,2,2,0.717,66,0.886,Existing Customer
M,3,Divorced,Blue,2,3,3,0.765,34,0.417,Attrited Customer
M,2,Married,Blue,1,3,1,0.715,64,0.882,Existing Customer
M,3,Married,Blue,1,2,1,0.618,76,0.727,Existing Customer
F,3,Married,Blue,2,3,2,0.756,81,0.929,Existing Customer
F,4,Married,Blue,1,2,3,0.73,88,0.6,Existing Customer
M,2,Single,Blue,2,2,1,0.573,76,0.9,Existing Customer
M,2,Divorced,Blue,1,2,4,0.62,41,0.281,Attrited Customer
F,1,Single,Blue,1,2,1,0.502,89,0.745,Existing Customer
M,0,Unknown,Blue,2,6,2,0.876,47,0.621,Attrited Customer
F,2,Single,Blue,4,3,3,0.648,38,0.583,Attrited Customer
F,0,Married,Blue,2,1,2,0.636,54,0.742,Attrited Customer
F,3,Married,Blue,1,2,1,0.853,70,0.75,Existing Customer
F,2,Unknown,Blue,1,3,3,0.61,87,0.776,Existing Customer
M,1,Married,Blue,2,3,2,0.95,83,0.766,Existing Customer
F,3,Single,Blue,1,3,3,0.818,65,0.667,Existing Customer
F,2,Married,Blue,2,3,2,0.957,51,0.821,Attrited Customer
M,1,Divorced,Blue,1,5,3,0.645,27,0.227,Attrited Customer
M,4,Married,Blue,1,3,2,0.767,78,0.696,Existing Customer
M,3,Married,Blue,6,4,3,0.974,54,1,Attrited Customer
M,3,Divorced,Blue,2,3,3,0.494,81,0.884,Existing Customer
F,1,Married,Blue,1,2,1,0.653,87,1.023,Existing Customer
M,3,Married,Blue,3,5,1,0.636,83,0.627,Existing Customer
F,2,Single,Blue,2,1,3,0.507,70,0.944,Existing Customer
M,3,Married,Blue,2,3,3,0.888,94,0.679,Existing Customer
F,2,Unknown,Blue,3,1,3,0.878,90,0.579,Existing Customer
F,3,Single,Blue,3,3,0,0.79,87,0.673,Existing Customer
M,3,Married,Blue,3,4,2,0.665,91,0.655,Existing Customer
M,3,Married,Silver,3,1,2,0.814,83,0.566,Existing Customer
M,3,Single,Gold,3,1,3,0.77,98,0.719,Existing Customer
M,3,Single,Blue,3,3,2,0.715,83,0.804,Existing Customer
M,2,Married,Blue,3,6,3,0.692,84,0.647,Existing Customer
M,1,Married,Gold,2,2,3,0.832,70,0.628,Existing Customer
F,3,Married,Blue,3,2,3,0.849,95,0.508,Existing Customer
M,3,Single,Blue,3,3,2,0.921,91,0.569,Existing Customer
M,3,Married,Blue,2,3,3,0.64,80,0.818,Existing Customer
F,3,Divorced,Blue,3,1,2,0.799,86,0.509,Existing Customer
M,3,Single,Blue,2,1,1,0.706,77,0.638,Existing Customer
M,2,Married,Blue,3,1,1,0.883,80,0.667,Existing Customer
F,2,Single,Blue,2,1,2,0.696,88,0.571,Existing Customer
M,1,Unknown,Blue,2,1,2,0.709,76,0.689,Existing Customer
F,3,Single,Blue,2,3,1,0.889,87,0.673,Existing Customer
M,3,Married,Blue,2,2,1,0.703,92,0.586,Existing Customer
F,4,Married,Gold,2,3,2,0.597,88,0.467,Existing Customer
F,4,Single,Blue,3,2,2,0.94,89,0.618,Existing Customer
F,1,Single,Blue,3,2,2,0.659,75,0.744,Existing Customer
M,0,Single,Blue,3,2,2,0.697,86,0.654,Existing Customer
F,4,Married,Blue,3,3,3,0.835,91,0.596,Existing Customer
M,2,Unknown,Gold,2,3,2,0.735,98,0.508,Existing Customer
F,3,Married,Blue,2,2,1,0.76,86,0.623,Existing Customer
F,4,Single,Blue,3,2,2,0.975,80,0.633,Existing Customer
M,2,Single,Blue,2,2,1,0.726,85,0.574,Existing Customer
F,1,Single,Blue,3,3,0,0.801,85,0.7,Existing Customer
M,2,Divorced,Blue,3,2,1,0.809,85,0.667,Existing Customer
F,1,Single,Blue,2,3,2,0.698,104,0.529,Existing Customer
M,4,Single,Blue,2,2,2,0.733,93,0.632,Existing Customer
M,2,Single,Blue,2,3,3,0.5,50,0.471,Attrited Customer
M,3,Married,Blue,2,3,1,0.842,96,0.574,Existing Customer
F,3,Married,Blue,2,5,1,0.946,86,0.509,Existing Customer
M,3,Unknown,Blue,2,1,2,0.676,84,0.615,Existing Customer
M,3,Married,Blue,3,3,1,0.775,87,0.611,Existing Customer
M,5,Unknown,Blue,3,2,3,0.644,83,0.804,Existing Customer
F,3,Married,Blue,3,3,3,0.696,89,0.679,Existing Customer
M,3,Married,Blue,2,2,3,0.781,69,0.917,Existing Customer
F,3,Married,Blue,2,1,3,0.808,95,0.557,Existing Customer
F,3,Single,Blue,2,2,1,0.718,85,0.604,Existing Customer
M,1,Married,Blue,6,1,4,0.895,59,0.439,Attrited Customer
M,4,Single,Blue,3,2,3,0.91,97,0.565,Existing Customer
M,4,Unknown,Blue,2,2,2,0.769,86,0.564,Existing Customer
F,4,Married,Blue,3,2,1,0.776,93,0.55,Existing Customer
F,3,Married,Blue,3,3,2,0.637,95,0.508,Existing Customer
F,3,Single,Blue,3,2,2,0.634,85,0.771,Existing Customer
F,3,Unknown,Blue,2,5,2,0.801,88,0.63,Existing Customer
F,4,Single,Blue,2,2,3,0.614,89,0.561,Existing Customer
M,0,Single,Platinum,3,2,3,0.764,87,0.582,Existing Customer
M,2,Divorced,Blue,3,3,1,0.767,87,0.582,Existing Customer
M,1,Single,Blue,3,3,1,0.807,80,0.509,Existing Customer
M,2,Single,Blue,2,3,2,0.705,93,0.576,Existing Customer
M,1,Single,Silver,3,1,3,0.93,90,0.731,Existing Customer
M,2,Divorced,Blue,2,1,1,0.693,91,0.655,Existing Customer
F,1,Single,Blue,2,2,2,0.851,84,0.909,Existing Customer
F,3,Single,Silver,3,2,2,0.634,95,0.696,Existing Customer
M,3,Divorced,Blue,3,1,2,0.77,86,0.623,Existing Customer
F,2,Single,Blue,2,2,2,0.822,88,0.544,Existing Customer
M,4,Married,Blue,2,3,2,0.723,97,0.54,Existing Customer
F,1,Single,Blue,3,2,0,0.649,95,0.61,Existing Customer
F,4,Married,Blue,3,3,0,0.615,88,0.63,Existing Customer
M,2,Divorced,Blue,2,3,3,0.798,86,0.458,Existing Customer
F,0,Married,Blue,3,4,2,0.738,89,0.534,Existing Customer
M,4,Single,Blue,2,3,3,0.904,88,0.544,Existing Customer
M,3,Married,Blue,2,2,1,0.785,96,0.412,Existing Customer
M,3,Married,Blue,2,2,1,0.594,78,0.814,Existing Customer
F,4,Single,Silver,2,1,3,0.738,75,0.705,Existing Customer
F,2,Married,Blue,3,3,1,0.845,93,0.576,Existing Customer
M,3,Married,Gold,2,1,3,0.716,88,0.571,Existing Customer
M,4,Married,Blue,3,3,1,0.752,89,0.589,Existing Customer
F,3,Single,Silver,3,2,1,0.718,85,0.7,Existing Customer
M,1,Single,Blue,2,1,1,0.654,91,0.717,Existing Customer
M,3,Single,Blue,3,2,1,0.634,84,0.826,Existing Customer
F,4,Unknown,Silver,3,2,3,0.682,81,0.62,Existing Customer
M,2,Unknown,Blue,2,2,2,0.647,69,0.865,Existing Customer
M,1,Married,Blue,3,3,2,0.703,87,0.706,Existing Customer
F,2,Single,Blue,2,1,3,0.628,98,0.607,Existing Customer
M,4,Single,Blue,3,3,1,0.709,85,0.635,Existing Customer
F,4,Single,Blue,3,3,3,1.023,51,0.645,Attrited Customer
M,4,Married,Blue,2,2,2,0.679,76,0.617,Existing Customer
F,4,Married,Silver,3,2,1,0.666,73,0.553,Existing Customer
F,1,Single,Blue,2,3,2,0.994,56,0.333,Attrited Customer
F,3,Married,Silver,2,3,3,0.977,51,0.457,Attrited Customer
M,4,Single,Silver,2,2,1,0.853,93,0.603,Existing Customer
M,3,Married,Blue,3,3,2,0.718,84,0.647,Existing Customer
M,3,Unknown,Blue,3,6,1,0.813,88,0.517,Existing Customer
M,1,Married,Blue,3,4,2,0.702,92,0.614,Existing Customer
F,4,Married,Blue,2,1,1,0.897,92,0.643,Existing Customer
F,2,Single,Blue,3,1,0,1.014,78,0.733,Existing Customer
F,2,Married,Blue,2,1,2,0.806,82,0.708,Existing Customer
M,3,Single,Blue,2,1,3,0.829,77,0.604,Existing Customer
M,3,Married,Blue,2,1,3,0.854,90,0.579,Existing Customer
F,3,Single,Silver,3,3,2,0.836,77,0.791,Existing Customer
F,3,Married,Silver,3,3,2,0.618,42,0.5,Attrited Customer
M,3,Married,Gold,3,1,3,0.772,82,0.608,Existing Customer
F,3,Single,Gold,2,3,2,0.791,94,0.679,Existing Customer
F,3,Divorced,Blue,3,2,2,0.662,101,0.603,Existing Customer
M,2,Unknown,Blue,2,2,2,0.629,92,0.533,Existing Customer
M,2,Single,Blue,2,3,3,0.793,82,0.708,Existing Customer
M,4,Unknown,Gold,2,2,3,0.823,95,0.696,Existing Customer
M,2,Married,Blue,2,1,3,0.684,82,0.577,Existing Customer
F,2,Married,Blue,3,2,2,0.742,83,0.729,Existing Customer
F,3,Married,Blue,2,3,0,0.744,64,0.684,Existing Customer
M,3,Married,Blue,2,2,1,0.699,80,0.905,Existing Customer
F,3,Unknown,Blue,2,3,3,0.925,93,0.722,Existing Customer
F,2,Unknown,Blue,3,1,2,0.74,88,0.66,Existing Customer
M,4,Married,Silver,3,2,2,0.702,88,0.66,Existing Customer
M,4,Single,Blue,2,2,3,0.56,82,0.608,Existing Customer
M,1,Single,Blue,3,3,3,0.651,87,0.673,Existing Customer
F,2,Married,Blue,3,3,1,0.695,92,0.614,Existing Customer
F,2,Single,Blue,3,3,3,0.769,89,0.589,Existing Customer
M,0,Married,Silver,3,2,1,0.84,92,0.673,Existing Customer
M,2,Single,Blue,3,2,2,0.774,77,0.54,Existing Customer
M,2,Single,Blue,1,2,1,0.81,95,0.667,Existing Customer
M,3,Divorced,Blue,2,3,3,0.661,77,0.638,Existing Customer
F,3,Divorced,Blue,2,2,3,0.707,82,0.608,Existing Customer
F,4,Single,Blue,1,1,3,0.748,88,0.492,Existing Customer
F,1,Married,Blue,2,3,2,0.999,60,0.395,Attrited Customer
M,2,Single,Blue,1,2,2,0.821,85,0.7,Existing Customer
M,3,Single,Gold,2,2,0,0.746,87,0.526,Existing Customer
F,0,Married,Blue,1,1,1,0.845,74,0.721,Existing Customer
M,2,Unknown,Blue,1,2,3,0.791,76,0.652,Existing Customer
M,2,Divorced,Blue,1,2,3,0.727,96,0.574,Existing Customer
M,3,Single,Silver,1,2,2,0.776,76,0.767,Existing Customer
M,4,Married,Blue,1,2,2,0.713,80,0.633,Existing Customer
F,2,Married,Blue,2,2,1,0.896,94,0.593,Existing Customer
F,5,Single,Blue,2,1,3,0.62,89,0.561,Existing Customer
F,4,Single,Blue,1,3,2,0.672,85,0.518,Existing Customer
M,1,Single,Blue,1,5,2,0.643,82,0.783,Existing Customer
F,2,Married,Blue,2,3,1,0.655,89,0.648,Existing Customer
M,3,Single,Blue,1,2,1,0.81,74,0.721,Existing Customer
M,4,Single,Silver,2,2,1,0.768,86,0.564,Existing Customer
M,4,Married,Blue,2,1,1,0.681,84,0.787,Existing Customer
M,3,Single,Blue,5,3,2,1.039,55,0.486,Attrited Customer
M,4,Married,Blue,1,1,2,0.676,96,0.627,Existing Customer
M,2,Unknown,Blue,1,3,1,0.656,73,0.659,Existing Customer
M,4,Single,Blue,1,1,3,0.681,93,0.632,Existing Customer
F,3,Single,Blue,2,2,3,0.716,84,0.68,Existing Customer
M,2,Divorced,Silver,1,2,2,0.706,95,0.583,Existing Customer
M,0,Unknown,Silver,1,1,1,0.738,88,0.6,Existing Customer
F,2,Unknown,Blue,2,1,3,0.605,97,0.54,Existing Customer
M,3,Single,Blue,2,2,3,0.638,73,0.738,Existing Customer
F,2,Single,Blue,1,2,3,0.745,90,0.579,Existing Customer
M,0,Married,Blue,1,2,1,0.691,89,0.534,Existing Customer
F,2,Married,Blue,2,2,1,0.578,84,0.647,Existing Customer
M,4,Divorced,Silver,2,2,3,0.754,84,0.75,Existing Customer
F,2,Divorced,Blue,1,1,2,0.668,87,0.673,Existing Customer
F,2,Single,Blue,2,1,1,0.769,105,0.544,Existing Customer
M,4,Married,Blue,2,2,3,0.846,81,0.688,Existing Customer
F,2,Single,Blue,1,2,2,0.619,83,0.729,Existing Customer
M,3,Single,Gold,2,1,3,0.787,95,0.667,Existing Customer
M,5,Married,Blue,1,2,3,0.84,85,0.604,Existing Customer
M,2,Married,Blue,1,2,1,1.046,49,0.815,Attrited Customer
F,3,Single,Blue,4,2,3,1.002,56,0.806,Attrited Customer
M,1,Single,Blue,2,2,3,0.645,93,0.5,Existing Customer
F,2,Single,Blue,2,3,3,0.76,89,0.648,Existing Customer
F,1,Single,Silver,1,2,1,0.603,98,0.556,Existing Customer
M,3,Unknown,Silver,2,1,2,0.728,93,0.525,Existing Customer
F,2,Single,Blue,2,1,3,0.689,80,0.702,Existing Customer
M,2,Unknown,Blue,1,1,3,0.822,86,0.536,Existing Customer
F,3,Married,Blue,6,5,1,0.741,82,0.745,Existing Customer
F,3,Married,Silver,4,2,2,0.859,88,0.63,Existing Customer
M,4,Divorced,Blue,3,3,2,0.704,85,0.635,Existing Customer
M,3,Married,Blue,2,1,1,0.742,96,0.6,Existing Customer
M,2,Married,Blue,2,3,2,0.909,92,0.736,Existing Customer
M,3,Single,Blue,1,3,3,0.727,83,0.729,Existing Customer
F,4,Single,Blue,1,3,3,1.022,55,0.486,Attrited Customer
F,3,Unknown,Blue,1,2,3,0.708,97,0.54,Existing Customer
M,1,Married,Silver,2,3,2,0.678,89,0.618,Existing Customer
M,4,Single,Blue,5,3,2,0.956,59,0.639,Attrited Customer
M,2,Single,Blue,2,2,3,0.646,98,0.633,Existing Customer
M,3,Unknown,Blue,1,1,3,0.647,83,0.694,Existing Customer
M,3,Married,Blue,2,3,2,0.823,97,0.644,Existing Customer
F,4,Married,Blue,1,2,3,1.031,62,0.442,Attrited Customer
M,4,Single,Blue,4,3,3,1.018,50,0.724,Attrited Customer
M,3,Married,Blue,2,3,3,0.704,98,0.581,Existing Customer
M,3,Unknown,Blue,2,2,1,1.033,47,0.382,Attrited Customer
M,2,Married,Silver,1,1,2,0.671,74,0.609,Existing Customer
M,2,Married,Blue,2,4,1,0.895,92,0.586,Existing Customer
M,5,Married,Blue,1,3,2,0.875,82,0.64,Existing Customer
F,4,Unknown,Blue,1,2,2,0.648,90,0.552,Existing Customer
F,1,Single,Blue,1,3,1,0.804,75,0.596,Existing Customer
M,4,Married,Silver,1,2,1,0.63,82,0.783,Existing Customer
F,2,Married,Silver,2,3,2,1.087,71,0.821,Existing Customer
M,2,Single,Gold,2,3,3,1.015,57,0.295,Attrited Customer
M,1,Unknown,Silver,2,2,0,0.736,72,1,Existing Customer
F,4,Single,Blue,1,3,2,0.997,60,0.463,Attrited Customer
M,4,Married,Blue,2,3,2,0.637,79,0.491,Existing Customer
M,3,Single,Blue,4,3,3,1.049,64,0.524,Attrited Customer
F,5,Single,Blue,1,1,1,0.759,75,0.875,Existing Customer
M,3,Single,Blue,2,4,1,0.766,76,0.434,Existing Customer
F,2,Married,Blue,2,1,3,0.893,75,0.875,Existing Customer
F,2,Single,Blue,1,3,3,0.677,74,0.682,Existing Customer
M,5,Divorced,Blue,1,2,2,0.871,101,0.485,Existing Customer
M,3,Married,Blue,6,2,2,0.891,58,0.611,Attrited Customer
F,3,Married,Blue,2,1,3,0.674,86,0.623,Existing Customer
F,3,Single,Blue,2,2,2,0.777,90,0.607,Existing Customer
M,3,Married,Blue,2,2,1,0.965,57,0.541,Attrited Customer
M,3,Married,Blue,2,1,1,0.785,74,0.682,Existing Customer
F,3,Single,Gold,1,1,2,0.629,104,0.677,Existing Customer
F,5,Unknown,Blue,2,2,3,0.715,80,0.818,Existing Customer
F,2,Single,Blue,6,1,2,1.047,59,0.639,Attrited Customer
F,2,Single,Blue,2,3,2,0.731,95,0.638,Existing Customer
M,1,Married,Blue,2,3,2,0.707,82,0.608,Existing Customer
F,1,Married,Blue,1,2,2,0.723,88,0.6,Existing Customer
F,2,Single,Blue,1,6,2,1.043,53,0.432,Attrited Customer
F,5,Married,Silver,2,1,2,0.761,83,0.509,Existing Customer
F,5,Unknown,Blue,2,3,1,0.678,93,0.603,Existing Customer
F,3,Married,Blue,2,3,1,0.72,80,0.538,Existing Customer
F,2,Single,Blue,1,1,1,0.813,86,0.593,Existing Customer
F,0,Married,Blue,1,3,2,0.746,87,0.642,Existing Customer
F,4,Single,Blue,2,2,1,0.873,87,0.554,Existing Customer
F,3,Married,Blue,2,2,2,0.775,87,0.642,Existing Customer
M,3,Married,Blue,1,3,2,0.814,83,0.537,Existing Customer
M,4,Single,Blue,1,2,2,1.027,48,0.655,Attrited Customer
F,3,Single,Silver,1,2,2,0.8,93,0.661,Existing Customer
M,2,Single,Blue,1,3,3,0.622,75,0.705,Existing Customer
F,4,Unknown,Gold,2,2,3,0.749,86,0.564,Existing Customer
M,1,Married,Gold,2,1,3,0.75,86,0.593,Existing Customer
F,0,Single,Silver,1,1,1,0.842,82,0.673,Existing Customer
F,2,Unknown,Blue,1,2,3,0.654,86,0.483,Existing Customer
M,3,Unknown,Blue,2,3,3,0.877,87,0.45,Existing Customer
M,3,Single,Gold,2,4,3,0.69,89,0.648,Existing Customer
M,2,Divorced,Blue,1,3,2,0.72,88,0.544,Existing Customer
F,3,Married,Blue,2,3,3,0.709,94,0.679,Existing Customer
F,2,Married,Blue,2,1,1,0.868,79,0.58,Existing Customer
M,2,Single,Blue,2,1,1,0.855,81,0.528,Existing Customer
F,2,Married,Blue,2,1,0,0.698,106,0.738,Existing Customer
F,1,Single,Blue,1,1,2,0.821,94,0.516,Existing Customer
M,4,Married,Blue,2,1,1,0.693,75,0.667,Existing Customer
M,2,Married,Silver,2,3,3,0.759,85,0.635,Existing Customer
M,3,Single,Blue,2,4,2,1.043,53,0.559,Attrited Customer
F,4,Single,Blue,1,1,3,0.661,82,0.608,Existing Customer
F,1,Unknown,Blue,1,3,1,0.712,95,0.532,Existing Customer
M,2,Single,Blue,1,2,2,1.028,58,0.487,Attrited Customer
F,0,Married,Blue,1,1,0,0.696,98,0.508,Existing Customer
F,3,Divorced,Blue,2,3,2,0.791,90,0.5,Existing Customer
F,4,Divorced,Blue,4,3,3,0.998,54,0.35,Attrited Customer
F,4,Married,Blue,2,1,1,0.71,80,0.569,Existing Customer
F,2,Unknown,Silver,2,2,1,0.751,76,0.81,Existing Customer
M,2,Married,Silver,1,2,2,0.745,81,0.688,Existing Customer
F,1,Unknown,Gold,2,3,2,0.739,81,0.841,Existing Customer
M,2,Married,Gold,1,3,2,1.047,54,0.588,Attrited Customer
M,5,Married,Blue,1,3,1,0.608,77,0.54,Existing Customer
M,3,Single,Blue,2,3,1,0.592,91,0.596,Existing Customer
M,3,Single,Blue,1,3,3,0.749,91,0.596,Existing Customer
F,1,Unknown,Silver,1,2,3,0.755,81,0.688,Existing Customer
F,3,Single,Silver,2,1,2,0.701,94,0.567,Existing Customer
M,2,Single,Blue,1,3,2,0.785,81,0.688,Existing Customer
M,3,Single,Silver,2,1,3,0.755,69,0.725,Existing Customer
M,1,Single,Silver,1,3,2,0.964,48,0.548,Attrited Customer
F,3,Married,Silver,1,3,1,0.706,90,0.731,Existing Customer
M,3,Married,Blue,2,1,2,0.711,95,0.462,Existing Customer
M,2,Married,Blue,1,2,1,0.705,96,0.548,Existing Customer
M,2,Married,Blue,2,2,3,0.781,82,0.608,Existing Customer
M,3,Unknown,Blue,1,2,2,0.828,79,0.646,Existing Customer
F,3,Unknown,Blue,2,2,1,0.687,89,0.508,Existing Customer
M,2,Single,Blue,1,2,2,0.655,87,0.776,Existing Customer
F,0,Single,Blue,1,2,3,0.64,97,0.59,Existing Customer
M,5,Unknown,Blue,1,5,1,0.645,82,0.414,Existing Customer
M,1,Single,Blue,1,6,1,0.625,81,0.588,Existing Customer
F,3,Married,Blue,1,1,3,0.64,94,0.492,Existing Customer
F,4,Married,Blue,1,4,2,0.828,80,0.739,Existing Customer
F,2,Single,Blue,2,2,3,0.775,85,0.574,Existing Customer
M,3,Unknown,Blue,1,3,3,0.98,93,0.5,Existing Customer
M,1,Married,Silver,2,5,2,0.718,79,0.681,Existing Customer
F,3,Married,Blue,1,2,3,0.832,86,0.755,Existing Customer
M,2,Married,Blue,2,2,1,0.837,87,0.642,Existing Customer
M,3,Married,Blue,1,2,2,0.624,89,0.648,Existing Customer
F,1,Single,Blue,2,3,3,0.699,86,0.654,Existing Customer
F,4,Single,Blue,1,1,1,0.708,91,0.596,Existing Customer
M,1,Married,Blue,2,2,3,0.857,102,0.522,Existing Customer
F,3,Single,Blue,1,3,2,0.681,86,0.654,Existing Customer
M,2,Married,Silver,2,3,3,0.868,92,0.533,Existing Customer
M,1,Married,Blue,2,3,1,1.038,56,0.474,Attrited Customer
F,1,Married,Blue,1,3,3,0.78,65,0.857,Existing Customer
M,3,Married,Silver,6,2,2,1.021,55,0.341,Attrited Customer
M,5,Single,Blue,2,1,3,0.684,91,0.685,Existing Customer
M,3,Single,Blue,2,2,3,0.717,99,0.707,Existing Customer
M,1,Divorced,Blue,1,2,2,0.699,107,0.672,Existing Customer
M,3,Married,Platinum,2,3,4,0.987,65,0.512,Attrited Customer
F,4,Single,Blue,5,3,5,1.031,56,0.556,Attrited Customer
M,4,Married,Blue,2,3,2,0.682,94,0.679,Existing Customer
M,2,Single,Blue,2,2,1,0.743,88,0.913,Existing Customer
M,2,Single,Blue,1,2,3,0.847,85,0.667,Existing Customer
M,2,Married,Blue,1,3,1,0.751,85,0.635,Existing Customer
M,1,Married,Blue,2,3,2,0.778,86,0.509,Existing Customer
M,2,Single,Blue,1,1,3,0.701,82,0.708,Existing Customer
M,4,Married,Blue,2,2,2,0.861,83,0.627,Existing Customer
M,0,Married,Gold,2,1,1,0.689,87,0.673,Existing Customer
F,3,Divorced,Silver,2,2,2,0.675,86,0.623,Existing Customer
